cve_id,published,cvss_version,base_score,severity,attack_vector,attack_complexity,privileges_required,user_interaction,exploitability,products,n_products
CVE-2026-24060,2026-03-21,3.1,9.1,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25086,2026-03-21,3.1,7.7,HIGH,LOCAL,LOW,NONE,NONE,2.5,,0
CVE-2026-2352,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-2430,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-32666,2026-03-21,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-33237,2026-03-21,3.1,5.5,MEDIUM,NETWORK,LOW,HIGH,NONE,1.2,wwbn:avideo,1
CVE-2026-33238,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,wwbn:avideo,1
CVE-2026-33424,2026-03-21,3.1,5.9,MEDIUM,ADJACENT,HIGH,HIGH,REQUIRED,0.4,discourse:discourse,1
CVE-2026-33425,2026-03-21,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,discourse:discourse,1
CVE-2026-33426,2026-03-21,3.1,3.5,LOW,NETWORK,LOW,HIGH,REQUIRED,0.9,discourse:discourse,1
CVE-2026-33427,2026-03-21,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,discourse:discourse,1
CVE-2026-33428,2026-03-21,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,discourse:discourse,1
CVE-2026-3339,2026-03-21,3.1,2.7,LOW,NETWORK,LOW,HIGH,NONE,1.2,,0
CVE-2026-3350,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-3368,2026-03-21,3.1,7.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3474,2026-03-21,3.1,4.9,MEDIUM,NETWORK,LOW,HIGH,NONE,1.2,,0
CVE-2026-3516,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-3567,2026-03-21,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3572,2026-03-21,3.1,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-3577,2026-03-21,3.1,4.4,MEDIUM,NETWORK,HIGH,HIGH,NONE,1.3,,0
CVE-2026-4083,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-32042,2026-03-21,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,openclaw:openclaw,1
CVE-2026-32043,2026-03-21,3.1,6.5,MEDIUM,LOCAL,HIGH,LOW,NONE,1.0,openclaw:openclaw,1
CVE-2026-32044,2026-03-21,3.1,5.5,MEDIUM,LOCAL,LOW,NONE,REQUIRED,1.8,openclaw:openclaw,1
CVE-2026-32045,2026-03-21,3.1,5.9,MEDIUM,NETWORK,HIGH,NONE,NONE,2.2,openclaw:openclaw,1
CVE-2026-32046,2026-03-21,3.1,5.3,MEDIUM,LOCAL,LOW,LOW,NONE,1.8,openclaw:openclaw,1
CVE-2026-32048,2026-03-21,3.1,7.5,HIGH,NETWORK,HIGH,LOW,NONE,1.6,openclaw:openclaw,1
CVE-2026-32049,2026-03-21,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,openclaw:openclaw,1
CVE-2026-32050,2026-03-21,3.1,3.7,LOW,NETWORK,HIGH,NONE,NONE,2.2,openclaw:openclaw,1
CVE-2026-32051,2026-03-21,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,openclaw:openclaw,1
CVE-2026-32052,2026-03-21,3.1,6.4,MEDIUM,NETWORK,HIGH,LOW,REQUIRED,1.2,openclaw:openclaw,1
CVE-2026-32053,2026-03-21,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,openclaw:openclaw,1
CVE-2026-32054,2026-03-21,3.1,6.5,MEDIUM,LOCAL,HIGH,LOW,NONE,1.0,openclaw:openclaw,1
CVE-2026-32055,2026-03-21,3.1,7.6,HIGH,NETWORK,LOW,LOW,NONE,2.8,openclaw:openclaw,1
CVE-2026-32056,2026-03-21,3.1,7.5,HIGH,NETWORK,HIGH,LOW,NONE,1.6,openclaw:openclaw,1
CVE-2026-32057,2026-03-21,3.1,7.1,HIGH,NETWORK,LOW,LOW,NONE,2.8,openclaw:openclaw,1
CVE-2026-32058,2026-03-21,3.1,2.6,LOW,NETWORK,HIGH,LOW,REQUIRED,1.2,openclaw:openclaw,1
CVE-2026-32064,2026-03-21,3.1,7.7,HIGH,LOCAL,LOW,NONE,NONE,2.5,openclaw:openclaw,1
CVE-2026-32065,2026-03-21,3.1,4.8,MEDIUM,NETWORK,HIGH,LOW,REQUIRED,1.2,openclaw:openclaw,1
CVE-2026-32067,2026-03-21,3.1,3.7,LOW,NETWORK,HIGH,LOW,REQUIRED,1.2,openclaw:openclaw,1
CVE-2026-32895,2026-03-21,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,openclaw:openclaw,1
CVE-2026-32896,2026-03-21,3.1,4.8,MEDIUM,NETWORK,HIGH,NONE,NONE,2.2,openclaw:openclaw,1
CVE-2026-32897,2026-03-21,3.1,3.7,LOW,NETWORK,HIGH,NONE,NONE,2.2,openclaw:openclaw,1
CVE-2026-32898,2026-03-21,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,openclaw:openclaw,1
CVE-2026-32899,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,openclaw:openclaw,1
CVE-2026-4302,2026-03-21,3.1,7.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2024-13785,2026-03-21,3.1,5.6,MEDIUM,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2025-13910,2026-03-21,3.1,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2025-14037,2026-03-21,3.1,8.1,HIGH,NETWORK,LOW,HIGH,REQUIRED,1.7,,0
CVE-2026-0609,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1093,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1247,2026-03-21,3.1,4.4,MEDIUM,NETWORK,HIGH,HIGH,NONE,1.3,,0
CVE-2026-1253,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-1275,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1278,2026-03-21,3.1,4.4,MEDIUM,NETWORK,HIGH,HIGH,NONE,1.3,,0
CVE-2026-1313,2026-03-21,3.1,8.3,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-1378,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-1390,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-1392,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-1393,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-1397,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1503,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-1575,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1647,2026-03-21,3.1,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-1648,2026-03-21,3.1,7.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-1800,2026-03-21,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-1806,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1822,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1851,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1854,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1886,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1889,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1891,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-1899,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
